R,Bx,By,Bz
92.5226134906184,-0.015,-0.196,-0.108
83.71093601532142,0.001,-0.175,-0.101
74.89925854002442,-0.004,-0.154,-0.083
66.08758106472743,-0.0,-0.131,-0.073
57.27590358943044,0.012,-0.11,-0.064
48.46422611413345,-0.002,-0.091,-0.046
39.652548638836464,0.009,-0.066,-0.04
30.84087116353946,0.005,-0.045,-0.023
22.029193688242472,0.012,-0.025,-0.015
13.217516212945483,0.012,-0.003,-0.0
4.40583873764848,0.001,0.016,0.016
-4.405838737648509,-0.012,0.0349999999999999,0.039
-13.217516212945498,-0.01,0.054,0.053
-22.029193688242486,-0.004,0.077,0.062
-30.840871163539475,-0.019,0.095,0.086
-39.652548638836464,0.005,0.122,0.082
-48.46422611413345,-0.012,0.141,0.107
-57.27590358943047,0.01,0.163,0.11
-66.08758106472746,-0.004,0.183,0.132
-74.89925854002445,0.005,0.206,0.1389999999999999
-83.71093601532144,-0.0,0.224,0.156
-92.52261349061844,0.01,0.248,0.166
