R,Bx,By,Bz
-95.0387930057036,-0.004,0.211,-0.014
-85.98747938611278,-0.011,0.188,-0.007
-76.93616576652195,-0.015,0.165,-0.002
-67.88485214693114,-0.015,0.146,0.003
-58.83353852734032,-0.011,0.125,0.007
-49.78222490774951,-0.01,0.107,0.006
-40.73091128815869,-0.006,0.086,0.008
-31.679597668567865,-0.013,0.062,0.015
-22.62828404897705,-0.01,0.045,0.017
-13.576970429386236,-0.006,0.023,0.02
-4.525656809795407,-0.01,0.004,0.029
4.525656809795407,-0.008,-0.017,0.028
13.576970429386222,-0.019,-0.037,0.041
22.62828404897704,-0.002,-0.057,0.0349999999999999
31.67959766856785,-0.01,-0.077,0.0419999999999999
40.730911288158666,0.001,-0.097,0.044
49.78222490774948,-0.002,-0.116,0.054
58.83353852734032,-0.023,-0.142,0.067
67.88485214693114,0.009,-0.154,0.056
76.93616576652195,-0.015,-0.181,0.071
85.98747938611277,0.005,-0.195,0.0649999999999999
95.03879300570358,-0.004,-0.219,0.073
