X,Y,Z,Bx,By,Bz
34.0,86.99264745632279,58.007352543677214,0.095,-0.067,-0.0
44.0,86.99264745632279,58.007352543677214,0.114,-0.091,-0.0
54.0,86.99264745632279,58.007352543677214,0.091,-0.124,0.017
64.0,86.99264745632279,58.007352543677214,0.0989999999999999,-0.15,0.015
74.0,86.99264745632279,58.007352543677214,0.076,-0.177,0.025
84.0,86.99264745632279,58.007352543677214,0.059,-0.193,0.028
94.0,86.99264745632279,58.007352543677214,0.025,-0.202,0.028
104.0,86.99264745632279,58.007352543677214,-0.0,-0.201,0.026
114.0,86.99264745632279,58.007352543677214,-0.009,-0.192,0.016
124.0,86.99264745632279,58.007352543677214,-0.055,-0.184,0.0209999999999999
134.0,86.99264745632279,58.007352543677214,-0.074,-0.166,0.015
144.0,86.99264745632279,58.007352543677214,-0.0699999999999999,-0.145,0.001
154.0,86.99264745632279,58.007352543677214,-0.083,-0.128,-0.002
164.0,86.99264745632279,58.007352543677214,-0.085,-0.107,-0.0
174.0,86.99264745632279,58.007352543677214,-0.081,-0.092,-0.005
184.0,86.99264745632279,58.007352543677214,-0.074,-0.074,-0.008
194.0,86.99264745632279,58.007352543677214,-0.061,-0.058,-0.011
204.0,86.99264745632279,58.007352543677214,-0.055,-0.046,-0.008
214.0,86.99264745632279,58.007352543677214,-0.057,-0.036,-0.007
224.0,86.99264745632279,58.007352543677214,-0.049,-0.028,-0.005
234.0,86.99264745632279,58.007352543677214,-0.045,-0.017,-0.001
244.0,86.99264745632279,58.007352543677214,-0.044,-0.006,0.002
254.0,86.99264745632279,58.007352543677214,-0.044,0.0,0.002
264.0,86.99264745632279,58.007352543677214,-0.049,0.01,0.009
274.0,86.99264745632279,58.007352543677214,-0.053,0.017,0.014
284.0,86.99264745632279,58.007352543677214,-0.061,0.027,0.018
294.0,86.99264745632279,58.007352543677214,-0.063,0.034,0.0209999999999999
304.0,86.99264745632279,58.007352543677214,-0.053,0.047,0.016
314.0,86.99264745632279,58.007352543677214,-0.0649999999999999,0.057,0.02
324.0,86.99264745632279,58.007352543677214,-0.043,0.072,0.01
334.0,86.99264745632279,58.007352543677214,-0.059,0.0699999999999999,0.015
344.0,86.99264745632279,58.007352543677214,-0.057,0.0699999999999999,0.015
354.0,86.99264745632279,58.007352543677214,-0.0649999999999999,0.0689999999999999,0.018
364.0,86.99264745632279,58.007352543677214,-0.0649999999999999,0.0689999999999999,0.018
374.0,86.99264745632279,58.007352543677214,-0.051,0.071,0.012
