X[mm],Y[mm],Z[mm],Bx[mT],By[mT],Bz[mT]
-60.0,-114.0,-4.0,0.027,-0.01,-0.325
-60.0,-114.0,6.0,0.04,0.004,-0.33
-60.0,-104.0,-44.0,-0.034,-0.048,-0.297
-60.0,-104.0,-34.0,0.013,-0.035,-0.311
-60.0,-104.0,-24.0,0.03,-0.024,-0.311
-60.0,-104.0,-14.0,0.007,-0.008,-0.306
-60.0,-104.0,-4.0,0.035,-0.005,-0.301
-60.0,-104.0,6.0,0.068,0.012,-0.314
-60.0,-104.0,16.0,0.066,0.016,-0.31
-60.0,-104.0,26.0,0.083,0.027,-0.303
-60.0,-104.0,36.0,0.08899999999999998,0.046,-0.296
-60.0,-104.0,46.0,0.102,0.058,-0.301
-60.0,-94.0,-64.0,-0.036000000000000004,-0.068,-0.287
-60.0,-94.0,-54.0,-0.042,-0.058,-0.289
-60.0,-94.0,-44.0,-0.016,-0.052,-0.292
-60.0,-94.0,-34.0,0.02,-0.03,-0.30200000000000005
-60.0,-94.0,-24.0,0.002,-0.029,-0.29
-60.0,-94.0,-14.0,0.054,-0.01,-0.301
-60.0,-94.0,-4.0,0.048,0.001,-0.29500000000000004
-60.0,-94.0,6.0,0.06499999999999999,0.016,-0.296
-60.0,-94.0,16.0,0.082,0.027,-0.3
-60.0,-94.0,26.0,0.063,0.034,-0.29
-60.0,-94.0,36.0,0.091,0.046,-0.285
-60.0,-94.0,46.0,0.09300000000000001,0.058,-0.29500000000000004
-60.0,-94.0,56.0,0.124,0.07200000000000001,-0.298
-60.0,-84.0,-74.0,-0.039,-0.077,-0.27
-60.0,-84.0,-64.0,-0.045000000000000005,-0.076,-0.27
-60.0,-84.0,-54.0,-0.017,-0.059,-0.27
-60.0,-84.0,-44.0,-0.001,-0.054,-0.261
-60.0,-84.0,-34.0,-0.003,-0.045000000000000005,-0.272
-60.0,-84.0,-24.0,0.003,-0.026,-0.258
-60.0,-84.0,-14.0,0.016,-0.011,-0.274
-60.0,-84.0,-4.0,0.039,-0.001,-0.28
