X[mm],Y[mm],Z[mm],Bx[mT],By[mT],Bz[mT]
-81.088246729526,-103.17798332169278,-41.0,0.057,-0.22,0.06999999999999999
-81.088246729526,-103.17798332169278,-31.0,0.07399999999999998,-0.226,0.056
-81.088246729526,-103.17798332169278,-21.0,0.095,-0.231,0.038
-81.088246729526,-103.17798332169278,-11.0,0.08899999999999998,-0.242,0.038
-81.088246729526,-103.17798332169278,-1.0,0.108,-0.244,0.02
-81.088246729526,-103.17798332169278,9.0,0.131,-0.248,0.005
-81.088246729526,-103.17798332169278,19.0,0.133,-0.254,-0.001
-81.088246729526,-103.17798332169278,29.0,0.152,-0.264,-0.012
-81.088246729526,-103.17798332169278,39.0,0.148,-0.273,-0.014
-81.088246729526,-103.17798332169278,49.0,0.165,-0.279,-0.024
-80.05559092878337,-93.23144513008096,-61.0,0.044,-0.187,0.077
-80.05559092878337,-93.23144513008096,-51.0,0.056,-0.19,0.06
-80.05559092878337,-93.23144513008096,-41.0,0.053,-0.2,0.055
-80.05559092878337,-93.23144513008096,-31.0,0.057,-0.205,0.051
-80.05559092878337,-93.23144513008096,-21.0,0.076,-0.21,0.034
-80.05559092878337,-93.23144513008096,-11.0,0.105,-0.211,0.019
-80.05559092878337,-93.23144513008096,-1.0,0.09300000000000001,-0.219,0.018000000000000002
-80.05559092878337,-93.23144513008096,9.0,0.106,-0.225,0.004
-80.05559092878337,-93.23144513008096,19.0,0.123,-0.229,-0.007
-80.05559092878337,-93.23144513008096,29.0,0.125,-0.237,-0.012
-80.05559092878337,-93.23144513008096,39.0,0.131,-0.242,-0.017
-80.05559092878337,-93.23144513008096,49.0,0.135,-0.25,-0.027
-80.05559092878337,-93.23144513008096,59.0,0.157,-0.256,-0.034
-79.02293512804074,-83.28490693846913,-81.0,0.014,-0.158,0.092
-79.02293512804074,-83.28490693846913,-71.0,0.025,-0.162,0.077
-79.02293512804074,-83.28490693846913,-61.0,0.016,-0.16799999999999998,0.077
-79.02293512804074,-83.28490693846913,-51.0,0.033,-0.175,0.059
-79.02293512804074,-83.28490693846913,-41.0,0.038,-0.179,0.053
-79.02293512804074,-83.28490693846913,-31.0,0.07299999999999998,-0.182,0.031
-79.02293512804074,-83.28490693846913,-21.0,0.067,-0.189,0.027
-79.02293512804074,-83.28490693846913,-11.0,0.09000000000000001,-0.19,0.015
-79.02293512804074,-83.28490693846913,-1.0,0.08799999999999998,-0.196,0.008
-79.02293512804074,-83.28490693846913,9.0,0.095,-0.2,0.002
-79.02293512804074,-83.28490693846913,19.0,0.11,-0.203,-0.01
-79.02293512804074,-83.28490693846913,29.0,0.118,-0.207,-0.022
-79.02293512804074,-83.28490693846913,39.0,0.12,-0.216,-0.025
-79.02293512804074,-83.28490693846913,49.0,0.133,-0.219,-0.033
-79.02293512804074,-83.28490693846913,59.0,0.13999999999999999,-0.224,-0.039
-77.9902793272981,-73.33836874685731,-91.0,-0.018000000000000002,-0.132,0.105
-77.9902793272981,-73.33836874685731,-81.0,0.01,-0.13699999999999998,0.086
-77.9902793272981,-73.33836874685731,-71.0,0.031,-0.13799999999999998,0.06499999999999999
-77.9902793272981,-73.33836874685731,-61.0,0.025,-0.144,0.06
-77.9902793272981,-73.33836874685731,-51.0,0.046,-0.149,0.044
-77.9902793272981,-73.33836874685731,-41.0,0.035,-0.157,0.045000000000000005
-77.9902793272981,-73.33836874685731,-31.0,0.054,-0.159,0.03
-77.9902793272981,-73.33836874685731,-21.0,0.06499999999999999,-0.162,0.017
-77.9902793272981,-73.33836874685731,-11.0,0.086,-0.164,0.001
-77.9902793272981,-73.33836874685731,-1.0,0.082,-0.17,0.001
-77.9902793272981,-73.33836874685731,9.0,0.086,-0.175,-0.004
-77.9902793272981,-73.33836874685731,19.0,0.08399999999999998,-0.181,-0.009000000000000001
-77.9902793272981,-73.33836874685731,29.0,0.103,-0.183,-0.02
-77.9902793272981,-73.33836874685731,39.0,0.116,-0.186,-0.034
-77.9902793272981,-73.33836874685731,49.0,0.129,-0.193,-0.047
-77.9902793272981,-73.33836874685731,59.0,0.13899999999999998,-0.196,-0.055
-76.95762352655547,-63.39183055524549,-91.0,-0.006,-0.111,0.08699999999999998
-76.95762352655547,-63.39183055524549,-81.0,0.016,-0.11299999999999998,0.07399999999999998
-76.95762352655547,-63.39183055524549,-71.0,-0.0,-0.124,0.07299999999999998
-76.95762352655547,-63.39183055524549,-61.0,0.027,-0.124,0.053
-76.95762352655547,-63.39183055524549,-51.0,0.025,-0.131,0.048
-76.95762352655547,-63.39183055524549,-41.0,0.029,-0.135,0.038
-76.95762352655547,-63.39183055524549,-31.0,0.034,-0.13999999999999999,0.03
