X[mm],Y[mm],Z[mm],Bx[mT],By[mT],Bz[mT]
-220.0,-27.0,87.0,-0.057,-0.057,-0.015
-220.0,3.0,87.0,-0.08,-0.08,-0.014
-220.0,33.0,87.0,-0.08699999999999998,-0.08699999999999998,-0.011
-220.0,-57.0,57.0,-0.027,-0.027,-0.022
-220.0,-27.0,57.0,-0.046,-0.046,-0.027
-220.0,3.0,57.0,-0.049,-0.049,-0.032
-220.0,33.0,57.0,-0.06499999999999999,-0.06499999999999999,-0.034
-220.0,63.0,57.0,-0.068,-0.068,-0.036000000000000004
-220.0,-87.0,27.0,-0.017,-0.017,-0.02
-220.0,-57.0,27.0,0.003,0.003,-0.032
-220.0,-27.0,27.0,-0.0,-0.0,-0.035
-220.0,3.0,27.0,0.003,0.003,-0.043
-220.0,33.0,27.0,-0.004,-0.004,-0.05
-220.0,63.0,27.0,-0.025,-0.025,-0.051
-220.0,-87.0,-3.0,0.008,0.008,-0.022
-220.0,-57.0,-3.0,0.01,0.01,-0.029
-220.0,-27.0,-3.0,0.001,0.001,-0.032
-220.0,3.0,-3.0,0.01,0.01,-0.041
-220.0,33.0,-3.0,0.003,0.003,-0.046
-220.0,63.0,-3.0,0.004,0.004,-0.051
-220.0,-87.0,-33.0,0.012,0.012,-0.021
-220.0,-57.0,-33.0,0.02,0.02,-0.025
-220.0,-27.0,-33.0,0.035,0.035,-0.035
-220.0,3.0,-33.0,0.021,0.021,-0.035
-220.0,33.0,-33.0,0.023,0.023,-0.042
-220.0,63.0,-33.0,0.033,0.033,-0.042
-220.0,-57.0,-63.0,0.042,0.042,-0.019
-220.0,-27.0,-63.0,0.046,0.046,-0.022
-220.0,3.0,-63.0,0.052,0.052,-0.024
-220.0,33.0,-63.0,0.06499999999999999,0.06499999999999999,-0.028
-220.0,63.0,-63.0,0.076,0.076,-0.025
-220.0,-27.0,-93.0,0.061,0.061,0.001
-220.0,3.0,-93.0,0.09000000000000001,0.09000000000000001,-0.004
-190.0,-27.0,87.0,-0.076,-0.076,-0.058
-190.0,3.0,87.0,-0.091,-0.091,-0.066
-190.0,33.0,87.0,-0.123,-0.123,-0.07299999999999998
-190.0,-57.0,57.0,-0.038,-0.038,-0.045000000000000005
-190.0,-27.0,57.0,-0.036000000000000004,-0.036000000000000004,-0.054
-190.0,3.0,57.0,-0.059,-0.059,-0.063
-190.0,33.0,57.0,-0.061,-0.061,-0.081
-190.0,63.0,57.0,-0.08699999999999998,-0.08699999999999998,-0.08799999999999998
-190.0,-87.0,27.0,-0.01,-0.01,-0.031
-190.0,-57.0,27.0,-0.004,-0.004,-0.044
-190.0,-27.0,27.0,-0.027,-0.027,-0.052
-190.0,3.0,27.0,-0.021,-0.021,-0.06499999999999999
-190.0,33.0,27.0,-0.015,-0.015,-0.077
