R,Bx,By,Bz
-90.42897363164118,0.012,0.156,-0.206
-81.81669042862774,0.033,0.14100000000000001,-0.204
-73.2044072256143,0.029,0.122,-0.179
-64.59212402260086,0.016,0.102,-0.164
-55.97984081958741,0.001,0.078,-0.13899999999999998
-47.36755761657396,0.008,0.061,-0.128
-38.755274413560514,0.002,0.041999999999999996,-0.112
-30.142991210547066,0.004,0.023,-0.092
-21.530708007533633,0.001,0.001,-0.077
-12.918424804520185,0.016,-0.013,-0.067
-4.306141601506738,0.001,-0.034,-0.044
4.3061416015067095,-0.006,-0.057,-0.022
12.918424804520157,0.01,-0.07200000000000001,-0.016
21.530708007533605,-0.014,-0.095,0.009000000000000001
30.142991210547052,0.005,-0.11299999999999999,0.017
38.7552744135605,-0.031,-0.13799999999999998,0.049
47.36755761657395,-0.019,-0.157,0.061
55.979840819587395,-0.015000000000000001,-0.174,0.06899999999999999
64.59212402260084,-0.015000000000000001,-0.192,0.08399999999999999
73.20440722561429,-0.027,-0.213,0.108
81.81669042862771,-0.012,-0.231,0.11900000000000001
90.42897363164116,-0.002,-0.248,0.129
