R,Bx,By,Bz
-92.52261349061841,-0.108,0.196,-0.015000000000000001
-83.71093601532142,-0.101,0.175,0.001
-74.89925854002442,-0.083,0.154,-0.004
-66.08758106472743,-0.073,0.131,-0.0
-57.27590358943044,-0.064,0.11,0.012
-48.46422611413345,-0.046,0.091,-0.002
-39.652548638836464,-0.04,0.066,0.009000000000000001
-30.84087116353946,-0.023,0.045000000000000005,0.005
-22.029193688242472,-0.015000000000000001,0.025,0.012
-13.217516212945483,-0.0,0.003,0.012
-4.40583873764848,0.016,-0.016,0.001
4.405838737648509,0.039,-0.034999999999999996,-0.012
13.217516212945498,0.053,-0.054,-0.01
22.029193688242486,0.062,-0.077,-0.004
30.840871163539475,0.08600000000000001,-0.095,-0.019
39.652548638836464,0.082,-0.122,0.005
48.46422611413345,0.107,-0.14100000000000001,-0.012
57.27590358943047,0.11,-0.163,0.01
66.08758106472746,0.132,-0.183,-0.004
74.89925854002445,0.13899999999999998,-0.206,0.005
83.71093601532144,0.156,-0.224,-0.0
92.52261349061843,0.166,-0.248,0.01
