R,Bx,By,Bz
-92.52261349061841,0.263,-0.052,-0.011
-83.71093601532142,0.236,-0.054,0.001
-74.89925854002442,0.216,-0.049,-0.01
-66.08758106472743,0.192,-0.045000000000000005,-0.01
-57.27590358943044,0.165,-0.048,0.007
-48.46422611413345,0.147,-0.041,-0.011
-39.652548638836464,0.11299999999999999,-0.045000000000000005,0.012
-30.84087116353946,0.102,-0.037,-0.008
-22.029193688242472,0.08399999999999999,-0.032,-0.012
-13.217516212945483,0.056,-0.034999999999999996,0.001
-4.40583873764848,0.037,-0.029,-0.008
4.405838737648509,0.006,-0.029,0.01
13.217516212945498,-0.006,-0.027,-0.002
22.029193688242486,-0.028,-0.023,-0.0
30.840871163539475,-0.044,-0.022,-0.006
39.652548638836464,-0.06999999999999999,-0.019,0.001
48.46422611413345,-0.09000000000000001,-0.015000000000000001,-0.0
57.27590358943047,-0.118,-0.013,0.007
66.08758106472746,-0.135,-0.012,0.005
74.89925854002445,-0.161,-0.01,0.012
83.71093601532144,-0.186,-0.007,0.018000000000000002
92.52261349061843,-0.208,-0.003,0.016
