R,Bx,By,Bz
-93.16306537809203,0.018000000000000002,0.14200000000000002,-0.11
-84.29039248494041,0.016,0.12300000000000001,-0.094
-75.4177195917888,0.012,0.101,-0.079
-66.54504669863718,0.008,0.083,-0.063
-57.67237380548555,-0.0,0.062,-0.046
-48.79970091233393,-0.004,0.044,-0.031
-39.9270280191823,0.008,0.025,-0.02
-31.054355126030686,-0.01,0.004,0.001
-22.18168223287907,0.004,-0.011,0.01
-13.309009339727439,-0.012,-0.033,0.025
-4.436336446575822,-0.008,-0.054,0.046
4.436336446575808,0.006,-0.06899999999999999,0.049
13.309009339727425,0.003,-0.087,0.060000000000000005
22.18168223287904,-0.019,-0.114,0.08600000000000001
31.054355126030657,0.003,-0.128,0.09000000000000001
39.9270280191823,-0.015000000000000001,-0.149,0.112
48.79970091233392,-0.015000000000000001,-0.16699999999999998,0.128
57.672373805485535,-0.014,-0.189,0.14200000000000002
66.54504669863715,-0.008,-0.206,0.149
75.41771959178877,-0.027,-0.231,0.175
84.29039248494038,-0.036000000000000004,-0.25,0.189
93.16306537809203,-0.020999999999999998,-0.26899999999999996,0.201
