R,Bx,By,Bz
-93.16306537809203,0.008,0.009000000000000001,-0.225
-84.29039248494041,0.012,0.006,-0.2
-75.4177195917888,0.006,-0.002,-0.171
-66.54504669863718,-0.0,-0.013,-0.14200000000000002
-57.67237380548555,0.016,-0.013,-0.125
-48.79970091233393,-0.006,-0.029,-0.089
-39.9270280191823,0.01,-0.029,-0.074
-31.054355126030686,0.001,-0.038,-0.043000000000000003
-22.18168223287907,-0.008,-0.047,-0.014
-13.309009339727439,-0.012,-0.054,0.008
-4.436336446575822,-0.008,-0.057,0.033
4.436336446575808,-0.006,-0.064,0.059
13.309009339727425,-0.004,-0.06999999999999999,0.082
22.18168223287904,-0.019,-0.08,0.114
31.054355126030657,-0.01,-0.08600000000000001,0.134
39.9270280191823,-0.01,-0.093,0.159
48.79970091233392,-0.037,-0.104,0.196
57.672373805485535,-0.01,-0.107,0.21000000000000002
66.54504669863715,-0.029,-0.114,0.24600000000000002
75.41771959178877,-0.017,-0.118,0.265
