R,Bx,By,Bz
-95.0387930057036,0.24899999999999997,0.11699999999999999,-0.008
-85.98747938611278,0.223,0.107,0.007
-76.93616576652195,0.203,0.097,0.001
-67.88485214693114,0.185,0.087,-0.008
-58.83353852734032,0.159,0.075,-0.0
-49.78222490774951,0.146,0.066,-0.013
-40.730911288158694,0.125,0.056,-0.017
-31.679597668567865,0.102,0.043000000000000003,-0.008
-22.62828404897705,0.079,0.032,-0.008
-13.576970429386236,0.057,0.02,-0.0
-4.525656809795407,0.033,0.008,0.001
4.525656809795407,0.022,-0.0,-0.015000000000000001
13.576970429386222,-0.006,-0.012,-0.002
22.628284048977036,-0.020999999999999998,-0.020999999999999998,-0.012
31.67959766856785,-0.041999999999999996,-0.032,-0.015000000000000001
40.730911288158666,-0.066,-0.043000000000000003,-0.012
49.78222490774948,-0.08600000000000001,-0.055,-0.01
58.83353852734032,-0.106,-0.066,-0.008
67.88485214693114,-0.136,-0.079,-0.0
76.93616576652195,-0.15,-0.088,-0.01
85.98747938611277,-0.17300000000000001,-0.101,0.003
95.03879300570358,-0.191,-0.11,-0.008
