X,Y,Z,Bx,By,Bz
0.0,170.0,-15.000000000000002,-0.009000000000000001,-0.077,0.026
10.0,170.0,-15.000000000000002,-0.013,-0.088,0.029
20.0,170.0,-15.000000000000002,-0.009000000000000001,-0.09899999999999999,0.029
30.0,170.0,-15.000000000000002,-0.004,-0.108,0.025
40.0,170.0,-15.000000000000002,-0.019,-0.12300000000000001,0.030000000000000002
50.0,170.0,-15.000000000000002,-0.015000000000000001,-0.129,0.027
60.0,170.0,-15.000000000000002,-0.017,-0.136,0.027
70.0,170.0,-15.000000000000002,-0.017,-0.14400000000000002,0.027
80.0,170.0,-15.000000000000002,-0.034,-0.157,0.034
90.0,170.0,-15.000000000000002,-0.019,-0.155,0.028
100.0,170.0,-15.000000000000002,-0.005,-0.149,0.022
110.0,170.0,-15.000000000000002,-0.025,-0.152,0.034999999999999996
120.0,170.0,-15.000000000000002,-0.015000000000000001,-0.14300000000000002,0.027
130.0,170.0,-15.000000000000002,-0.004,-0.134,0.018000000000000002
140.0,170.0,-15.000000000000002,-0.017,-0.125,0.022
150.0,170.0,-15.000000000000002,-0.015000000000000001,-0.114,0.023
160.0,170.0,-15.000000000000002,-0.023,-0.108,0.026
170.0,170.0,-15.000000000000002,-0.027,-0.094,0.028
180.0,170.0,-15.000000000000002,-0.013,-0.08399999999999999,0.022
190.0,170.0,-15.000000000000002,-0.004,-0.068,0.018000000000000002
200.0,170.0,-15.000000000000002,-0.013,-0.058,0.022
210.0,170.0,-15.000000000000002,-0.017,-0.048,0.024
220.0,170.0,-15.000000000000002,-0.015000000000000001,-0.037,0.025
230.0,170.0,-15.000000000000002,-0.013,-0.026,0.024
240.0,170.0,-15.000000000000002,-0.019,-0.016,0.030000000000000002
250.0,170.0,-15.000000000000002,-0.009000000000000001,-0.003,0.022
260.0,170.0,-15.000000000000002,-0.027,0.004,0.030000000000000002
270.0,170.0,-15.000000000000002,-0.013,0.014,0.024
280.0,170.0,-15.000000000000002,-0.007,0.029,0.023
290.0,170.0,-15.000000000000002,-0.015000000000000001,0.034999999999999996,0.025
300.0,170.0,-15.000000000000002,-0.015000000000000001,0.046,0.025
310.0,170.0,-15.000000000000002,-0.019,0.045000000000000005,0.028
320.0,170.0,-15.000000000000002,-0.011,0.046,0.025
330.0,170.0,-15.000000000000002,-0.023,0.044,0.030000000000000002
340.0,170.0,-15.000000000000002,-0.027,0.043000000000000003,0.031
350.0,170.0,-15.000000000000002,-0.020999999999999998,0.048,0.025
360.0,170.0,-15.000000000000002,-0.019,0.045000000000000005,0.024
370.0,170.0,-15.000000000000002,-0.011,0.05,0.020999999999999998
