X,Y,Z,Bx,By,Bz
34.0,86.99264745632279,-78.00735254367721,0.031,0.017,0.078
44.0,86.99264745632279,-78.00735254367721,0.019,0.029,0.114
54.0,86.99264745632279,-78.00735254367721,0.018000000000000002,0.053,0.12300000000000001
64.0,86.99264745632279,-78.00735254367721,0.005,0.082,0.14200000000000002
74.0,86.99264745632279,-78.00735254367721,-0.014,0.11299999999999999,0.156
84.0,86.99264745632279,-78.00735254367721,-0.028,0.148,0.135
94.0,86.99264745632279,-78.00735254367721,-0.051,0.171,0.127
104.0,86.99264745632279,-78.00735254367721,-0.058,0.195,0.08399999999999999
114.0,86.99264745632279,-78.00735254367721,-0.063,0.207,0.046
124.0,86.99264745632279,-78.00735254367721,-0.06899999999999999,0.206,0.012
134.0,86.99264745632279,-78.00735254367721,-0.063,0.2,-0.031
144.0,86.99264745632279,-78.00735254367721,-0.060000000000000005,0.184,-0.053
154.0,86.99264745632279,-78.00735254367721,-0.053,0.165,-0.068
164.0,86.99264745632279,-78.00735254367721,-0.034,0.149,-0.09899999999999999
174.0,86.99264745632279,-78.00735254367721,-0.026,0.125,-0.09899999999999999
184.0,86.99264745632279,-78.00735254367721,-0.014,0.107,-0.1
194.0,86.99264745632279,-78.00735254367721,-0.008,0.088,-0.097
204.0,86.99264745632279,-78.00735254367721,-0.002,0.075,-0.095
214.0,86.99264745632279,-78.00735254367721,-0.002,0.062,-0.083
224.0,86.99264745632279,-78.00735254367721,0.005,0.053,-0.087
234.0,86.99264745632279,-78.00735254367721,0.006,0.041999999999999996,-0.087
244.0,86.99264745632279,-78.00735254367721,0.008,0.030000000000000002,-0.08
254.0,86.99264745632279,-78.00735254367721,0.007,0.019,-0.07200000000000001
264.0,86.99264745632279,-78.00735254367721,0.008,0.008,-0.074
274.0,86.99264745632279,-78.00735254367721,0.005,-0.0,-0.068
284.0,86.99264745632279,-78.00735254367721,0.01,-0.005,-0.08
294.0,86.99264745632279,-78.00735254367721,0.001,-0.014,-0.068
304.0,86.99264745632279,-78.00735254367721,0.008,-0.024,-0.074
314.0,86.99264745632279,-78.00735254367721,-0.0,-0.038,-0.057
324.0,86.99264745632279,-78.00735254367721,0.006,-0.043000000000000003,-0.074
334.0,86.99264745632279,-78.00735254367721,0.009000000000000001,-0.041999999999999996,-0.082
344.0,86.99264745632279,-78.00735254367721,0.001,-0.045000000000000005,-0.064
354.0,86.99264745632279,-78.00735254367721,0.01,-0.041,-0.08399999999999999
364.0,86.99264745632279,-78.00735254367721,0.009000000000000001,-0.041999999999999996,-0.082
374.0,86.99264745632279,-78.00735254367721,0.003,-0.044,-0.068
