X[mm],Y[mm],Z[mm],Bx[mT],By[mT],Bz[mT]
-7.000000000000000000e+01,-1.110000000000000000e+02,-4.100000000000000000e+01,5.700000000000000205e-02,-2.200000000000000011e-01,6.999999999999999278e-02
-7.000000000000000000e+01,-1.110000000000000000e+02,-3.100000000000000000e+01,7.399999999999999634e-02,-2.259999999999999787e-01,5.600000000000000117e-02
-7.000000000000000000e+01,-1.110000000000000000e+02,-2.100000000000000000e+01,9.500000000000000111e-02,-2.310000000000000109e-01,3.799999999999999906e-02
-7.000000000000000000e+01,-1.110000000000000000e+02,-1.100000000000000000e+01,8.899999999999999578e-02,-2.419999999999999929e-01,3.799999999999999906e-02
-7.000000000000000000e+01,-1.110000000000000000e+02,-1.000000000000000000e+00,1.079999999999999988e-01,-2.439999999999999947e-01,2.000000000000000042e-02
-7.000000000000000000e+01,-1.110000000000000000e+02,9.000000000000000000e+00,1.310000000000000053e-01,-2.479999999999999982e-01,5.000000000000000104e-03
-7.000000000000000000e+01,-1.110000000000000000e+02,1.900000000000000000e+01,1.330000000000000071e-01,-2.540000000000000036e-01,-1.000000000000000021e-03
-7.000000000000000000e+01,-1.110000000000000000e+02,2.900000000000000000e+01,1.519999999999999962e-01,-2.640000000000000124e-01,-1.200000000000000025e-02
-7.000000000000000000e+01,-1.110000000000000000e+02,3.900000000000000000e+01,1.479999999999999927e-01,-2.730000000000000204e-01,-1.400000000000000029e-02
-7.000000000000000000e+01,-1.110000000000000000e+02,4.900000000000000000e+01,1.650000000000000078e-01,-2.790000000000000258e-01,-2.400000000000000050e-02
-7.000000000000000000e+01,-1.010000000000000000e+02,-6.100000000000000000e+01,4.399999999999999745e-02,-1.869999999999999996e-01,7.699999999999999900e-02
-7.000000000000000000e+01,-1.010000000000000000e+02,-5.100000000000000000e+01,5.600000000000000117e-02,-1.900000000000000022e-01,6.000000000000000472e-02
-7.000000000000000000e+01,-1.010000000000000000e+02,-4.100000000000000000e+01,5.299999999999999850e-02,-2.000000000000000111e-01,5.500000000000000028e-02
-7.000000000000000000e+01,-1.010000000000000000e+02,-3.100000000000000000e+01,5.700000000000000205e-02,-2.049999999999999878e-01,5.099999999999999672e-02
-7.000000000000000000e+01,-1.010000000000000000e+02,-2.100000000000000000e+01,7.599999999999999811e-02,-2.100000000000000200e-01,3.400000000000000244e-02
-7.000000000000000000e+01,-1.010000000000000000e+02,-1.100000000000000000e+01,1.050000000000000100e-01,-2.109999999999999931e-01,1.899999999999999953e-02
-7.000000000000000000e+01,-1.010000000000000000e+02,-1.000000000000000000e+00,9.299999999999999933e-02,-2.190000000000000002e-01,1.800000000000000211e-02
-7.000000000000000000e+01,-1.010000000000000000e+02,9.000000000000000000e+00,1.059999999999999970e-01,-2.250000000000000056e-01,4.000000000000000083e-03
-7.000000000000000000e+01,-1.010000000000000000e+02,1.900000000000000000e+01,1.230000000000000121e-01,-2.290000000000000091e-01,-7.000000000000000146e-03
-7.000000000000000000e+01,-1.010000000000000000e+02,2.900000000000000000e+01,1.250000000000000000e-01,-2.369999999999999885e-01,-1.200000000000000025e-02
-7.000000000000000000e+01,-1.010000000000000000e+02,3.900000000000000000e+01,1.310000000000000053e-01,-2.419999999999999929e-01,-1.700000000000000122e-02
-7.000000000000000000e+01,-1.010000000000000000e+02,4.900000000000000000e+01,1.350000000000000089e-01,-2.500000000000000000e-01,-2.699999999999999969e-02
-7.000000000000000000e+01,-1.010000000000000000e+02,5.900000000000000000e+01,1.570000000000000007e-01,-2.560000000000000053e-01,-3.400000000000000244e-02
-7.000000000000000000e+01,-9.100000000000000000e+01,-8.100000000000000000e+01,1.400000000000000029e-02,-1.580000000000000016e-01,9.199999999999999845e-02
-7.000000000000000000e+01,-9.100000000000000000e+01,-7.100000000000000000e+01,2.500000000000000139e-02,-1.620000000000000051e-01,7.699999999999999900e-02
-7.000000000000000000e+01,-9.100000000000000000e+01,-6.100000000000000000e+01,1.600000000000000033e-02,-1.679999999999999827e-01,7.699999999999999900e-02
-7.000000000000000000e+01,-9.100000000000000000e+01,-5.100000000000000000e+01,3.300000000000000155e-02,-1.749999999999999889e-01,5.899999999999999689e-02
-7.000000000000000000e+01,-9.100000000000000000e+01,-4.100000000000000000e+01,3.799999999999999906e-02,-1.789999999999999925e-01,5.299999999999999850e-02
-7.000000000000000000e+01,-9.100000000000000000e+01,-3.100000000000000000e+01,7.299999999999999545e-02,-1.819999999999999951e-01,3.099999999999999978e-02
-7.000000000000000000e+01,-9.100000000000000000e+01,-2.100000000000000000e+01,6.700000000000000400e-02,-1.890000000000000013e-01,2.699999999999999969e-02
-7.000000000000000000e+01,-9.100000000000000000e+01,-1.100000000000000000e+01,9.000000000000001055e-02,-1.900000000000000022e-01,1.500000000000000118e-02
-7.000000000000000000e+01,-9.100000000000000000e+01,-1.000000000000000000e+00,8.799999999999999489e-02,-1.960000000000000075e-01,8.000000000000000167e-03
-7.000000000000000000e+01,-9.100000000000000000e+01,9.000000000000000000e+00,9.500000000000000111e-02,-2.000000000000000111e-01,2.000000000000000042e-03
-7.000000000000000000e+01,-9.100000000000000000e+01,1.900000000000000000e+01,1.100000000000000006e-01,-2.030000000000000138e-01,-1.000000000000000021e-02
-7.000000000000000000e+01,-9.100000000000000000e+01,2.900000000000000000e+01,1.179999999999999938e-01,-2.069999999999999896e-01,-2.199999999999999872e-02
-7.000000000000000000e+01,-9.100000000000000000e+01,3.900000000000000000e+01,1.200000000000000094e-01,-2.159999999999999976e-01,-2.500000000000000139e-02
-7.000000000000000000e+01,-9.100000000000000000e+01,4.900000000000000000e+01,1.330000000000000071e-01,-2.190000000000000002e-01,-3.300000000000000155e-02
-7.000000000000000000e+01,-9.100000000000000000e+01,5.900000000000000000e+01,1.399999999999999856e-01,-2.240000000000000047e-01,-3.899999999999999994e-02
-7.000000000000000000e+01,-8.100000000000000000e+01,-9.100000000000000000e+01,-1.800000000000000211e-02,-1.320000000000000062e-01,1.050000000000000100e-01
-7.000000000000000000e+01,-8.100000000000000000e+01,-8.100000000000000000e+01,1.000000000000000021e-02,-1.369999999999999829e-01,8.600000000000000699e-02
-7.000000000000000000e+01,-8.100000000000000000e+01,-7.100000000000000000e+01,3.099999999999999978e-02,-1.379999999999999838e-01,6.499999999999998834e-02
-7.000000000000000000e+01,-8.100000000000000000e+01,-6.100000000000000000e+01,2.500000000000000139e-02,-1.440000000000000169e-01,6.000000000000000472e-02
-7.000000000000000000e+01,-8.100000000000000000e+01,-5.100000000000000000e+01,4.599999999999999922e-02,-1.489999999999999936e-01,4.399999999999999745e-02
