X[mm],Y[mm],Z[mm],Bx[mT],By[mT],Bz[mT]
-2.200000000000000000e+02,-2.400000000000000000e+01,-2.000000000000000000e+00,-3.705000000000000071e+00,-7.008999999999999453e+00,9.829499999999998749e+01
-2.200000000000000000e+02,-2.400000000000000000e+01,-1.000000000000000000e+00,-3.720000000000000195e+00,-7.028999999999999915e+00,9.828199999999999648e+01
-2.200000000000000000e+02,-2.400000000000000000e+01,0.000000000000000000e+00,-3.696000000000000174e+00,-7.043999999999999595e+00,9.830100000000000193e+01
-2.200000000000000000e+02,-2.400000000000000000e+01,1.000000000000000000e+00,-3.716999999999999638e+00,-7.088000000000000078e+00,9.841200000000000614e+01
-2.200000000000000000e+02,-2.400000000000000000e+01,2.000000000000000000e+00,-3.684000000000000163e+00,-7.113000000000000433e+00,9.851800000000000068e+01
-2.200000000000000000e+02,-2.300000000000000000e+01,-7.000000000000000000e+00,-3.769000000000000128e+00,-6.884999999999999787e+00,9.871800000000000352e+01
-2.200000000000000000e+02,-2.300000000000000000e+01,-6.000000000000000000e+00,-3.763999999999999790e+00,-6.902000000000000135e+00,9.857999999999999829e+01
-2.200000000000000000e+02,-2.300000000000000000e+01,-5.000000000000000000e+00,-3.749000000000000110e+00,-6.926000000000000156e+00,9.845700000000000784e+01
-2.200000000000000000e+02,-2.300000000000000000e+01,-4.000000000000000000e+00,-3.733000000000000096e+00,-6.948000000000000398e+00,9.833600000000001273e+01
-2.200000000000000000e+02,-2.300000000000000000e+01,-3.000000000000000000e+00,-3.727999999999999758e+00,-6.969000000000000306e+00,9.829200000000000159e+01
-2.200000000000000000e+02,-2.300000000000000000e+01,-2.000000000000000000e+00,-3.710000000000000409e+00,-6.995000000000000107e+00,9.825000000000000000e+01
-2.200000000000000000e+02,-2.300000000000000000e+01,-1.000000000000000000e+00,-3.727999999999999758e+00,-7.025000000000000355e+00,9.827900000000001057e+01
-2.200000000000000000e+02,-2.300000000000000000e+01,0.000000000000000000e+00,-3.719000000000000306e+00,-7.049999999999999822e+00,9.832899999999999352e+01
-2.200000000000000000e+02,-2.300000000000000000e+01,1.000000000000000000e+00,-3.670999999999999819e+00,-7.078000000000000291e+00,9.833799999999999386e+01
-2.200000000000000000e+02,-2.300000000000000000e+01,2.000000000000000000e+00,-3.694999999999999840e+00,-7.124000000000000554e+00,9.850699999999999079e+01
-2.200000000000000000e+02,-2.300000000000000000e+01,3.000000000000000000e+00,-3.683000000000000274e+00,-7.144000000000000128e+00,9.861899999999999977e+01
-2.200000000000000000e+02,-2.300000000000000000e+01,4.000000000000000000e+00,-3.665000000000000036e+00,-7.179999999999999716e+00,9.877100000000000080e+01
-2.200000000000000000e+02,-2.300000000000000000e+01,5.000000000000000000e+00,-3.658999999999999808e+00,-7.229000000000000092e+00,9.895499999999999829e+01
-2.200000000000000000e+02,-2.300000000000000000e+01,6.000000000000000000e+00,-3.657999999999999918e+00,-7.281000000000000583e+00,9.915599999999999170e+01
-2.200000000000000000e+02,-2.300000000000000000e+01,7.000000000000000000e+00,-3.647000000000000242e+00,-7.321000000000000618e+00,9.936399999999999011e+01
-2.200000000000000000e+02,-2.200000000000000000e+01,-8.999999999999996447e+00,-3.806999999999999940e+00,-6.769999999999999574e+00,9.903799999999999670e+01
-2.200000000000000000e+02,-2.200000000000000000e+01,-8.000000000000000000e+00,-3.791999999999999815e+00,-6.799000000000000377e+00,9.882699999999999818e+01
-2.200000000000000000e+02,-2.200000000000000000e+01,-7.000000000000000000e+00,-3.786999999999999922e+00,-6.831000000000000405e+00,9.867600000000000193e+01
-2.200000000000000000e+02,-2.200000000000000000e+01,-6.000000000000000000e+00,-3.754999999999999893e+00,-6.859999999999999432e+00,9.849099999999999966e+01
-2.200000000000000000e+02,-2.200000000000000000e+01,-5.000000000000000000e+00,-3.761000000000000121e+00,-6.894000000000000128e+00,9.840599999999999170e+01
-2.200000000000000000e+02,-2.200000000000000000e+01,-4.000000000000000000e+00,-3.726999999999999869e+00,-6.913000000000000256e+00,9.830400000000000205e+01
-2.200000000000000000e+02,-2.200000000000000000e+01,-3.000000000000000000e+00,-3.741000000000000103e+00,-6.949999999999999289e+00,9.828499999999999659e+01
-2.200000000000000000e+02,-2.200000000000000000e+01,-2.000000000000000000e+00,-3.725000000000000089e+00,-6.976000000000000867e+00,9.826500000000000057e+01
-2.200000000000000000e+02,-2.200000000000000000e+01,-1.000000000000000000e+00,-3.713000000000000078e+00,-7.007000000000000561e+00,9.825300000000000011e+01
-2.200000000000000000e+02,-2.200000000000000000e+01,0.000000000000000000e+00,-3.674000000000000377e+00,-7.041000000000000369e+00,9.824399999999999977e+01
-2.200000000000000000e+02,-2.200000000000000000e+01,1.000000000000000000e+00,-3.677000000000000046e+00,-7.083999999999999631e+00,9.834799999999999898e+01
-2.200000000000000000e+02,-2.200000000000000000e+01,2.000000000000000000e+00,-3.674000000000000377e+00,-7.137999999999999901e+00,9.846899999999999409e+01
-2.200000000000000000e+02,-2.200000000000000000e+01,3.000000000000000000e+00,-3.673000000000000043e+00,-7.152000000000000135e+00,9.858400000000000318e+01
-2.200000000000000000e+02,-2.200000000000000000e+01,4.000000000000000000e+00,-3.661000000000000032e+00,-7.195999999999999730e+00,9.871999999999999886e+01
-2.200000000000000000e+02,-2.200000000000000000e+01,5.000000000000000000e+00,-3.653000000000000025e+00,-7.251999999999999780e+00,9.891299999999999670e+01
-2.200000000000000000e+02,-2.200000000000000000e+01,6.000000000000000000e+00,-3.636000000000000121e+00,-7.294999999999999929e+00,9.912999999999999545e+01
