X[mm],Y[mm],Z[mm],Bx[mT],By[mT],Bz[mT]
-2.200000000000000000e+02,-3.000000000000000000e+01,-7.000000000000001776e+00,-1.199000000000000066e+00,9.909999999999998810e-01,5.710900000000000176e+01
-2.200000000000000000e+02,-3.000000000000000000e+01,-6.000000000000001776e+00,-1.237999999999999989e+00,7.919999999999999263e-01,5.697499999999999432e+01
-2.200000000000000000e+02,-3.000000000000000000e+01,-5.000000000000001776e+00,-1.302999999999999936e+00,5.709999999999999520e-01,5.683599999999999852e+01
-2.200000000000000000e+02,-3.000000000000000000e+01,-4.000000000000001776e+00,-1.391999999999999904e+00,3.579999999999999849e-01,5.676099999999999568e+01
-2.200000000000000000e+02,-3.000000000000000000e+01,-3.000000000000001776e+00,-1.463000000000000078e+00,1.280000000000000027e-01,5.667300000000000182e+01
-2.200000000000000000e+02,-3.000000000000000000e+01,-2.000000000000000000e+00,-1.533000000000000140e+00,-8.500000000000000611e-02,5.662299999999999756e+01
-2.200000000000000000e+02,-3.000000000000000000e+01,-1.000000000000000000e+00,-1.602999999999999980e+00,-3.260000000000000120e-01,5.659999999999999432e+01
-2.200000000000000000e+02,-3.000000000000000000e+01,0.000000000000000000e+00,-1.678999999999999826e+00,-5.640000000000000568e-01,5.661299999999999955e+01
-2.200000000000000000e+02,-3.000000000000000000e+01,1.000000000000000000e+00,-1.742999999999999883e+00,-7.969999999999999307e-01,5.661899999999999977e+01
-2.200000000000000000e+02,-3.000000000000000000e+01,2.000000000000000000e+00,-1.802999999999999936e+00,-1.028000000000000025e+00,5.666800000000000637e+01
-2.200000000000000000e+02,-3.000000000000000000e+01,3.000000000000000000e+00,-1.887999999999999901e+00,-1.278000000000000025e+00,5.673400000000000176e+01
-2.200000000000000000e+02,-3.000000000000000000e+01,4.000000000000000000e+00,-1.958999999999999853e+00,-1.520999999999999908e+00,5.684499999999999886e+01
-2.200000000000000000e+02,-3.000000000000000000e+01,5.000000000000000000e+00,-2.055000000000000160e+00,-1.739999999999999991e+00,5.694099999999999540e+01
-2.200000000000000000e+02,-3.000000000000000000e+01,5.999999999999999112e+00,-2.115000000000000213e+00,-1.969999999999999973e+00,5.705699999999999505e+01
