X[mm],Y[mm],Z[mm],Bx[mT],By[mT],Bz[mT]
-2.200000000000000000e+02,-8.985300000000000864e+01,0.000000000000000000e+00,4.670000000000000262e-01,-1.200000000000000094e-01,-5.362999999999999545e+00
-2.200000000000000000e+02,-8.951099999999999568e+01,7.830999999999999517e+00,7.150000000000000799e-01,2.500000000000000139e-02,-5.363999999999999879e+00
-2.200000000000000000e+02,-8.848799999999999955e+01,1.560299999999999976e+01,9.380000000000000560e-01,1.630000000000000060e-01,-5.361000000000000654e+00
-2.200000000000000000e+02,-8.679099999999999682e+01,2.325600000000000023e+01,1.153000000000000025e+00,2.880000000000000338e-01,-5.360000000000000320e+00
-2.200000000000000000e+02,-8.443399999999999750e+01,3.073100000000000165e+01,1.353999999999999870e+00,3.980000000000000204e-01,-5.360000000000000320e+00
-2.200000000000000000e+02,-8.143399999999999750e+01,3.797299999999999898e+01,1.560000000000000053e+00,4.899999999999999911e-01,-5.379000000000000448e+00
-2.200000000000000000e+02,-7.781499999999999773e+01,4.492600000000000193e+01,1.704999999999999849e+00,5.509999999999999343e-01,-5.387000000000000455e+00
-2.200000000000000000e+02,-7.360300000000000864e+01,5.153699999999999903e+01,1.820999999999999952e+00,5.810000000000000719e-01,-5.394999999999999574e+00
-2.200000000000000000e+02,-6.883100000000000307e+01,5.775600000000000023e+01,1.921000000000000041e+00,5.910000000000000808e-01,-5.407000000000000028e+00
-2.200000000000000000e+02,-6.353600000000000136e+01,6.353600000000000136e+01,2.036000000000000032e+00,5.839999999999999636e-01,-5.442999999999999616e+00
-2.200000000000000000e+02,-5.775600000000000023e+01,6.883100000000000307e+01,2.097999999999999865e+00,5.429999999999999272e-01,-5.460999999999999410e+00
-2.200000000000000000e+02,-5.153700000000000614e+01,7.360300000000000864e+01,2.154999999999999805e+00,4.850000000000000422e-01,-5.488999999999999879e+00
-2.200000000000000000e+02,-4.492600000000000193e+01,7.781499999999999773e+01,2.173999999999999932e+00,3.970000000000000195e-01,-5.505999999999999339e+00
-2.200000000000000000e+02,-3.797299999999999898e+01,8.143399999999999750e+01,2.223000000000000309e+00,3.049999999999999933e-01,-5.540000000000000036e+00
-2.200000000000000000e+02,-3.073099999999999454e+01,8.443399999999999750e+01,2.226999999999999869e+00,1.859999999999999987e-01,-5.559999999999999609e+00
-2.200000000000000000e+02,-2.325600000000000023e+01,8.679099999999999682e+01,2.237999999999999989e+00,5.399999999999999939e-02,-5.584000000000000519e+00
-2.200000000000000000e+02,-1.560299999999999443e+01,8.848799999999999955e+01,2.221000000000000085e+00,-9.700000000000000289e-02,-5.600999999999999979e+00
-2.200000000000000000e+02,-7.831000000000003070e+00,8.951099999999999568e+01,2.249000000000000110e+00,-2.400000000000000189e-01,-5.635000000000000675e+00
-2.200000000000000000e+02,0.000000000000000000e+00,8.985299999999999443e+01,2.249000000000000110e+00,-3.950000000000000178e-01,-5.663999999999999702e+00
-2.200000000000000000e+02,7.830999999999988859e+00,8.951099999999999568e+01,2.265999999999999570e+00,-5.559999999999999387e-01,-5.697000000000000064e+00
-2.200000000000000000e+02,1.560300000000000864e+01,8.848799999999999955e+01,2.268000000000000238e+00,-7.159999999999999698e-01,-5.722999999999999865e+00
-2.200000000000000000e+02,2.325600000000000023e+01,8.679099999999999682e+01,2.295000000000000373e+00,-8.659999999999999920e-01,-5.760000000000000675e+00
-2.200000000000000000e+02,3.073099999999999454e+01,8.443399999999999750e+01,2.290999999999999925e+00,-1.008000000000000007e+00,-5.782000000000000028e+00
