R,Bx,By,Bz
-132.05827362861186,-2.8609999999999998,-3.3379999999999996,-8.109
-120.57494548699344,-1.794,-2.438,-7.312
-109.09161734537503,-1.098,-1.748,-6.6610000000000005
-97.6082892037566,-0.6980000000000001,-1.253,-6.1450000000000005
-86.12496106213817,-0.422,-0.891,-5.764
-74.64163292051975,-0.23800000000000002,-0.62,-5.47
-63.15830477890134,-0.102,-0.421,-5.252
-51.67497663728291,-0.0,-0.273,-5.083
-40.19164849566448,0.07100000000000001,-0.174,-4.957
-28.708320354046066,0.148,-0.10500000000000001,-4.88
-17.22499221242765,0.188,-0.073,-4.827
-5.7416640708092075,0.222,-0.07100000000000001,-4.813
5.7416640708092075,0.265,-0.096,-4.83
17.224992212427622,0.292,-0.149,-4.882
28.708320354046037,0.335,-0.23299999999999998,-4.9750000000000005
40.19164849566445,0.386,-0.35300000000000004,-5.119000000000001
51.674976637282896,0.432,-0.519,-5.3
63.15830477890131,0.484,-0.744,-5.5440000000000005
74.64163292051973,0.566,-1.048,-5.881
86.12496106213817,0.651,-1.468,-6.322
97.60828920375658,0.789,-2.053,-6.929
109.091617345375,0.968,-2.882,-7.764
120.57494548699341,1.267,-4.12,-8.972000000000001
132.05827362861183,1.7429999999999999,-6.085,-10.803999999999998
